"rawname","year","type","studenttype","studentlevel"
"unitid",,"identifier",,
"institution.name","","identifier",,
"eftotal..ef1999..eflevel.20.","1999","enrollment","total",20
"efft..ef1999..eflevel.20.","1999","enrollment","fulltime",20
"efpt..ef1999..eflevel.20.","1999","enrollment","parttime",20
"eftotal..ef1999..eflevel.50.","1999","enrollment","total",50
"efft..ef1999..eflevel.50.","1999","enrollment","fulltime",50
"efpt..ef1999..eflevel.50.","1999","enrollment","parttime",50
"eftotal..ef1998..eflevel.20.","1998","enrollment","total",20
"efft..ef1998..eflevel.20.","1998","enrollment","fulltime",20
"efpt..ef1998..eflevel.20.","1998","enrollment","parttime",20
"eftotal..ef1998..eflevel.50.","1998","enrollment","total",50
"efft..ef1998..eflevel.50.","1998","enrollment","fulltime",50
"efpt..ef1998..eflevel.50.","1998","enrollment","parttime",50
"eftotal..ef1997..eflevel.20.","1997","enrollment","total",20
"efft..ef1997..eflevel.20.","1997","enrollment","fulltime",20
"efpt..ef1997..eflevel.20.","1997","enrollment","parttime",20
"eftotal..ef1997..eflevel.50.","1997","enrollment","total",50
"efft..ef1997..eflevel.50.","1997","enrollment","fulltime",50
"efpt..ef1997..eflevel.50.","1997","enrollment","parttime",50
"eftotal..ef1996..eflevel.20.","1996","enrollment","total",20
"efft..ef1996..eflevel.20.","1996","enrollment","fulltime",20
"efpt..ef1996..eflevel.20.","1996","enrollment","parttime",20
"eftotal..ef1996..eflevel.50.","1996","enrollment","total",50
"efft..ef1996..eflevel.50.","1996","enrollment","fulltime",50
"efpt..ef1996..eflevel.50.","1996","enrollment","parttime",50
"eftotal..ef1995..eflevel.20.","1995","enrollment","total",20
"efft..ef1995..eflevel.20.","1995","enrollment","fulltime",20
"efpt..ef1995..eflevel.20.","1995","enrollment","parttime",20
"eftotal..ef1995..eflevel.50.","1995","enrollment","total",50
"efft..ef1995..eflevel.50.","1995","enrollment","fulltime",50
"efpt..ef1995..eflevel.50.","1995","enrollment","parttime",50
"eftotal..ef1994..eflevel.20.","1994","enrollment","total",20
"efft..ef1994..eflevel.20.","1994","enrollment","fulltime",20
"efpt..ef1994..eflevel.20.","1994","enrollment","parttime",20
"eftotal..ef1994..eflevel.50.","1994","enrollment","total",50
"efft..ef1994..eflevel.50.","1994","enrollment","fulltime",50
"efpt..ef1994..eflevel.50.","1994","enrollment","parttime",50
"eftotal..ef1993..eflevel.20.","1993","enrollment","total",20
"efft..ef1993..eflevel.20.","1993","enrollment","fulltime",20
"efpt..ef1993..eflevel.20.","1993","enrollment","parttime",20
"eftotal..ef1993..eflevel.50.","1993","enrollment","total",50
"efft..ef1993..eflevel.50.","1993","enrollment","fulltime",50
"efpt..ef1993..eflevel.50.","1993","enrollment","parttime",50
"eftotal..ef1992..eflevel.20.","1992","enrollment","total",20
"efft..ef1992..eflevel.20.","1992","enrollment","fulltime",20
"efpt..ef1992..eflevel.20.","1992","enrollment","parttime",20
"eftotal..ef1992..eflevel.50.","1992","enrollment","total",50
"efft..ef1992..eflevel.50.","1992","enrollment","fulltime",50
"efpt..ef1992..eflevel.50.","1992","enrollment","parttime",50
"eftotal..ef1991..eflevel.20.","1991","enrollment","total",20
"efft..ef1991..eflevel.20.","1991","enrollment","fulltime",20
"efpt..ef1991..eflevel.20.","1991","enrollment","parttime",20
"eftotal..ef1991..eflevel.50.","1991","enrollment","total",50
"efft..ef1991..eflevel.50.","1991","enrollment","fulltime",50
"efpt..ef1991..eflevel.50.","1991","enrollment","parttime",50
"eftotal..ef1990..eflevel.20.","1990","enrollment","total",20
"efft..ef1990..eflevel.20.","1990","enrollment","fulltime",20
"efpt..ef1990..eflevel.20.","1990","enrollment","parttime",20
"eftotal..ef1990..eflevel.50.","1990","enrollment","total",50
"efft..ef1990..eflevel.50.","1990","enrollment","fulltime",50
"efpt..ef1990..eflevel.50.","1990","enrollment","parttime",50
"eftotal..ef1989..eflevel.20.","1989","enrollment","total",20
"efft..ef1989..eflevel.20.","1989","enrollment","fulltime",20
"efpt..ef1989..eflevel.20.","1989","enrollment","parttime",20
"eftotal..ef1989..eflevel.50.","1989","enrollment","total",50
"efft..ef1989..eflevel.50.","1989","enrollment","fulltime",50
"efpt..ef1989..eflevel.50.","1989","enrollment","parttime",50
"eftotal..ef1988..eflevel.20.","1988","enrollment","total",20
"efft..ef1988..eflevel.20.","1988","enrollment","fulltime",20
"efpt..ef1988..eflevel.20.","1988","enrollment","parttime",20
"eftotal..ef1988..eflevel.50.","1988","enrollment","total",50
"efft..ef1988..eflevel.50.","1988","enrollment","fulltime",50
"efpt..ef1988..eflevel.50.","1988","enrollment","parttime",50
"eftotal..ef1987..eflevel.20.","1987","enrollment","total",20
"efft..ef1987..eflevel.20.","1987","enrollment","fulltime",20
"efpt..ef1987..eflevel.20.","1987","enrollment","parttime",20
"eftotal..ef1987..eflevel.50.","1987","enrollment","total",50
"efft..ef1987..eflevel.50.","1987","enrollment","fulltime",50
"efpt..ef1987..eflevel.50.","1987","enrollment","parttime",50
"eftotal..ef1986..eflevel.20.","1986","enrollment","total",20
"efft..ef1986..eflevel.20.","1986","enrollment","fulltime",20
"efpt..ef1986..eflevel.20.","1986","enrollment","parttime",20
"eftotal..ef1986..eflevel.50.","1986","enrollment","total",50
"efft..ef1986..eflevel.50.","1986","enrollment","fulltime",50
"efpt..ef1986..eflevel.50.","1986","enrollment","parttime",50
"eftotal..ef1985nw..eflevel.20.","1985","enrollment","total",20
"efft..ef1985nw..eflevel.20.","1985","enrollment","fulltime",20
"efpt..ef1985nw..eflevel.20.","1985","enrollment","parttime",20
"eftotal..ef1985nw..eflevel.50.","1985","enrollment","total",50
"efft..ef1985nw..eflevel.50.","1985","enrollment","fulltime",50
"efpt..ef1985nw..eflevel.50.","1985","enrollment","parttime",50
"eftotal..ef1984nw..eflevel.20.","1984","enrollment","total",20
"efft..ef1984nw..eflevel.20.","1984","enrollment","fulltime",20
"efpt..ef1984nw..eflevel.20.","1984","enrollment","parttime",20
"eftotal..ef1984nw..eflevel.50.","1984","enrollment","total",50
"efft..ef1984nw..eflevel.50.","1984","enrollment","fulltime",50
"efpt..ef1984nw..eflevel.50.","1984","enrollment","parttime",50
"eftotal..ef1980..eflevel.20.","1980","enrollment","total",20
"efft..ef1980..eflevel.20.","1980","enrollment","fulltime",20
"efpt..ef1980..eflevel.20.","1980","enrollment","parttime",20
"eftotal..ef1980..eflevel.50.","1980","enrollment","total",50
"efft..ef1980..eflevel.50.","1980","enrollment","fulltime",50
"efpt..ef1980..eflevel.50.","1980","enrollment","parttime",50
"cindon..drvic2014.","2014","totalprice","indistricton",
"cinson..drvic2014.","2014","totalprice","instateon",
"cotson..drvic2014.","2014","totalprice","outstateon",
"eftotal..ef2014..eflevel.20.","2014","enrollment","total",20
"efft..ef2014..eflevel.20.","2014","enrollment","fulltime",20
"efpt..ef2014..eflevel.20.","2014","enrollment","parttime",20
"eftotal..ef2014..eflevel.50.","2014","enrollment","total",50
"efft..ef2014..eflevel.50.","2014","enrollment","fulltime",50
"efpt..ef2014..eflevel.50.","2014","enrollment","parttime",50
"cindon..drvic2013_rv.","2013","totalprice","indistricton",
"cinson..drvic2013_rv.","2013","totalprice","instateon",
"cotson..drvic2013_rv.","2013","totalprice","outstateon",
"eftotal..ef2013..eflevel.20.","2013","enrollment","total",20
"efft..ef2013..eflevel.20.","2013","enrollment","fulltime",20
"efpt..ef2013..eflevel.20.","2013","enrollment","parttime",20
"eftotal..ef2013..eflevel.50.","2013","enrollment","total",50
"efft..ef2013..eflevel.50.","2013","enrollment","fulltime",50
"efpt..ef2013..eflevel.50.","2013","enrollment","parttime",50
"cindon..drvic2012_rv.","2012","totalprice","indistricton",
"cinson..drvic2012_rv.","2012","totalprice","instateon",
"cotson..drvic2012_rv.","2012","totalprice","outstateon",
"eftotal..ef2012_rv..eflevel.20.","2012","enrollment","total",20
"efft..ef2012_rv..eflevel.20.","2012","enrollment","fulltime",20
"efpt..ef2012_rv..eflevel.20.","2012","enrollment","parttime",20
"eftotal..ef2012_rv..eflevel.50.","2012","enrollment","total",50
"efft..ef2012_rv..eflevel.50.","2012","enrollment","fulltime",50
"efpt..ef2012_rv..eflevel.50.","2012","enrollment","parttime",50
"cindon..drvic2011_rv.","2011","totalprice","indistricton",
"cinson..drvic2011_rv.","2011","totalprice","instateon",
"cotson..drvic2011_rv.","2011","totalprice","outstateon",
"eftotal..ef2011_rv..eflevel.20.","2011","enrollment","total",20
"efft..ef2011_rv..eflevel.20.","2011","enrollment","fulltime",20
"efpt..ef2011_rv..eflevel.20.","2011","enrollment","parttime",20
"eftotal..ef2011_rv..eflevel.50.","2011","enrollment","total",50
"efft..ef2011_rv..eflevel.50.","2011","enrollment","fulltime",50
"efpt..ef2011_rv..eflevel.50.","2011","enrollment","parttime",50
"cindon..drvic2010_rv.","2010","totalprice","indistricton",
"cinson..drvic2010_rv.","2010","totalprice","instateon",
"cotson..drvic2010_rv.","2010","totalprice","outstateon",
"eftotal..ef2010_rv..eflevel.20.","2010","enrollment","total",20
"efft..ef2010_rv..eflevel.20.","2010","enrollment","fulltime",20
"efpt..ef2010_rv..eflevel.20.","2010","enrollment","parttime",20
"eftotal..ef2010_rv..eflevel.50.","2010","enrollment","total",50
"efft..ef2010_rv..eflevel.50.","2010","enrollment","fulltime",50
"efpt..ef2010_rv..eflevel.50.","2010","enrollment","parttime",50
"cindon..drvic2009_rv.","2009","totalprice","indistricton",
"cinson..drvic2009_rv.","2009","totalprice","instateon",
"cotson..drvic2009_rv.","2009","totalprice","outstateon",
"eftotal..ef2009_rv..eflevel.20.","2009","enrollment","total",20
"efft..ef2009_rv..eflevel.20.","2009","enrollment","fulltime",20
"efpt..ef2009_rv..eflevel.20.","2009","enrollment","parttime",20
"eftotal..ef2009_rv..eflevel.50.","2009","enrollment","total",50
"efft..ef2009_rv..eflevel.50.","2009","enrollment","fulltime",50
"efpt..ef2009_rv..eflevel.50.","2009","enrollment","parttime",50
"cindon..drvic2008.","2008","totalprice","indistricton",
"cinson..drvic2008.","2008","totalprice","instateon",
"cotson..drvic2008.","2008","totalprice","outstateon",
"eftotal..ef2008..eflevel.20.","2008","enrollment","total",20
"efft..ef2008..eflevel.20.","2008","enrollment","fulltime",20
"efpt..ef2008..eflevel.20.","2008","enrollment","parttime",20
"eftotal..ef2008..eflevel.50.","2008","enrollment","total",50
"efft..ef2008..eflevel.50.","2008","enrollment","fulltime",50
"efpt..ef2008..eflevel.50.","2008","enrollment","parttime",50
"cindon..drvic2007.","2007","totalprice","indistricton",
"cinson..drvic2007.","2007","totalprice","instateon",
"cotson..drvic2007.","2007","totalprice","outstateon",
"eftotal..ef2007..eflevel.20.","2007","enrollment","total",20
"efft..ef2007..eflevel.20.","2007","enrollment","fulltime",20
"efpt..ef2007..eflevel.20.","2007","enrollment","parttime",20
"eftotal..ef2007..eflevel.50.","2007","enrollment","total",50
"efft..ef2007..eflevel.50.","2007","enrollment","fulltime",50
"efpt..ef2007..eflevel.50.","2007","enrollment","parttime",50
"cindon..drvic2006.","2006","totalprice","indistricton",
"cinson..drvic2006.","2006","totalprice","instateon",
"cotson..drvic2006.","2006","totalprice","outstateon",
"eftotal..ef2006..eflevel.20.","2006","enrollment","total",20
"efft..ef2006..eflevel.20.","2006","enrollment","fulltime",20
"efpt..ef2006..eflevel.20.","2006","enrollment","parttime",20
"eftotal..ef2006..eflevel.50.","2006","enrollment","total",50
"efft..ef2006..eflevel.50.","2006","enrollment","fulltime",50
"efpt..ef2006..eflevel.50.","2006","enrollment","parttime",50
"cindon..ic2005_ay.","2005","totalprice","indistricton",
"cinson..ic2005_ay.","2005","totalprice","instateon",
"cotson..ic2005_ay.","2005","totalprice","outstateon",
"eftotal..ef2005..eflevel.20.","2005","enrollment","total",20
"efft..ef2005..eflevel.20.","2005","enrollment","fulltime",20
"efpt..ef2005..eflevel.20.","2005","enrollment","parttime",20
"eftotal..ef2005..eflevel.50.","2005","enrollment","total",50
"efft..ef2005..eflevel.50.","2005","enrollment","fulltime",50
"efpt..ef2005..eflevel.50.","2005","enrollment","parttime",50
"cindon..ic2004_ay.","2004","totalprice","indistricton",
"cinson..ic2004_ay.","2004","totalprice","instateon",
"cotson..ic2004_ay.","2004","totalprice","outstateon",
"eftotal..ef2004..eflevel.20.","2004","enrollment","total",20
"efft..ef2004..eflevel.20.","2004","enrollment","fulltime",20
"efpt..ef2004..eflevel.20.","2004","enrollment","parttime",20
"eftotal..ef2004..eflevel.50.","2004","enrollment","total",50
"efft..ef2004..eflevel.50.","2004","enrollment","fulltime",50
"efpt..ef2004..eflevel.50.","2004","enrollment","parttime",50
"cindon..ic2003_ay.","2003","totalprice","indistricton",
"cinson..ic2003_ay.","2003","totalprice","instateon",
"cotson..ic2003_ay.","2003","totalprice","outstateon",
"eftotal..ef2003..eflevel.20.","2003","enrollment","total",20
"efft..ef2003..eflevel.20.","2003","enrollment","fulltime",20
"efpt..ef2003..eflevel.20.","2003","enrollment","parttime",20
"eftotal..ef2003..eflevel.50.","2003","enrollment","total",50
"efft..ef2003..eflevel.50.","2003","enrollment","fulltime",50
"efpt..ef2003..eflevel.50.","2003","enrollment","parttime",50
"cindon..hd2002.","2002","totalprice","indistricton",
"cinson..hd2002.","2002","totalprice","instateon",
"cotson..hd2002.","2002","totalprice","outstateon",
"eftotal..ef2002..eflevel.20.","2002","enrollment","total",20
"efft..ef2002..eflevel.20.","2002","enrollment","fulltime",20
"efpt..ef2002..eflevel.20.","2002","enrollment","parttime",20
"eftotal..ef2002..eflevel.50.","2002","enrollment","total",50
"efft..ef2002..eflevel.50.","2002","enrollment","fulltime",50
"efpt..ef2002..eflevel.50.","2002","enrollment","parttime",50
"cindon..fa2001hd.","2001","totalprice","indistricton",
"cinson..fa2001hd.","2001","totalprice","instateon",
"cotson..fa2001hd.","2001","totalprice","outstateon",
"eftotal..ef2001..eflevel.20.","2001","enrollment","total",20
"efft..ef2001..eflevel.20.","2001","enrollment","fulltime",20
"efpt..ef2001..eflevel.20.","2001","enrollment","parttime",20
"eftotal..ef2001..eflevel.50.","2001","enrollment","total",50
"efft..ef2001..eflevel.50.","2001","enrollment","fulltime",50
"efpt..ef2001..eflevel.50.","2001","enrollment","parttime",50
"cindon..fa2000hd.","2000","totalprice","indistricton",
"cinson..fa2000hd.","2000","totalprice","instateon",
"cotson..fa2000hd.","2000","totalprice","outstateon",
"eftotal..ef2000..eflevel.20.","2000","enrollment","total",20
"efft..ef2000..eflevel.20.","2000","enrollment","fulltime",20
"efpt..ef2000..eflevel.20.","2000","enrollment","parttime",20
"eftotal..ef2000..eflevel.50.","2000","enrollment","total",50
"efft..ef2000..eflevel.50.","2000","enrollment","fulltime",50
"efpt..ef2000..eflevel.50.","2000","enrollment","parttime",50
"x",,"identifier",,
